Phase,#,Skill Name,Description,Weeks
1,1,PKP Wallet Setup,Create and configure Programmable Key Pairs,1-4
1,2,Lit Action Builder,Build and deploy Lit Actions,1-4
1,3,Session Signature Manager,Manage session keys and expiration,1-4
1,4,Auth Method Configuration,Configure OAuth Passkeys custom auth,1-4
1,5,Access Control Conditions,Define encryption/decryption conditions,1-4
1,6,Encrypt/Decrypt Workflows,End-to-end encryption patterns,1-4
2,7,Cross-Chain Signing,Unified signing across EVM and non-EVM,5-10
2,8,Bridge Orchestration,Orchestrate cross-chain transfers,5-10
2,9,Multi-Chain Wallet Manager,Manage PKP wallets across chains,5-10
2,10,PKP DEX Aggregator*,Optimal swaps with MEV protection patterns,5-10
2,11,Yield Optimizer,Automated yield farming patterns,5-10
2,12,Decentralized Limit Orders,Condition-based order execution,5-10
2,13,MEV Protection*,Flashbots integration patterns,5-10
2,14,Lit Action Security Auditor*,Security review patterns and checklists,5-10
2,15,Local Dev Environment,Local testing and simulation,5-10
2,16,Chronicle Manager,Capacity Credits management,5-10
2,17,TypeScript SDK Helper,Type-safe code generation,5-10
3,18,Token Gated Access,NFT/token holder verification,11-14
3,19,Private Transaction Builder*,Private mempool submission patterns,11-14
3,20,PKP Usage Analytics,Usage tracking and reporting,11-14
3,21,Network Health Monitor,Lit network status monitoring,11-14
3,22,Key Rotation Strategies,PKP key rotation and migration,11-14
3,23,Lit Action Debugger,Debugging and profiling,11-14
3,24,Python SDK Helper,Python code generation,11-14
